exposure,outcome,v7_role,n_iv,ivw_or,ivw_lci,ivw_uci,ivw_p,wm_or,wm_p,egger_or,egger_p,egger_int_p,presso_global_p,presso_n_outliers,presso_or_corr,presso_p_corr,Q_p
BBJ_HDLC,UKB_H40_All,supplementary,8,0.9177416043671284,0.6145779215927213,1.370452179934486,0.6747886888621951,1.1772399223848076,0.691946541639848,1.105695317898881,0.7856419526980203,0.5243063679532926,0.005,2.0,1.0029971773032706,0.9867633087190072,0.0031296652046235
KOGES_LDL,UKB_H40_All,supplementary,9,0.9194762107316796,0.783563620656991,1.0789634431887214,0.3036158574391239,0.9153413435210015,0.1646990579392385,0.9471272202579816,0.5828418312500522,0.7213231205486186,0.265,1.0,0.9264142485011256,0.163610430335399,0.2444844942104124
KOGES_TC,UKB_H40_All,supplementary,11,0.8478143469840909,0.6586669100819693,1.0912786963331875,0.1999113016634888,0.9369912869826635,0.6082702418486354,0.9871267992293974,0.9636325809122795,0.6513826138726515,0.002,1.0,0.9418911291956467,0.3749588961442028,0.0017251022882061
KOGES_TG,UKB_H40_All,supplementary,9,0.9516762879098046,0.7296811549073619,1.2412102887387424,0.7147484831669201,1.110070896413484,0.3975742401014533,1.2548210770296488,0.1998089769300723,0.1827858063673882,0.196,0.0,1.0319258749470166,0.703692864348394,0.1984968520486911
KOGES_LIP,UKB_H40_All,supplementary,4,0.9821268180006728,0.8393597423701736,1.1491772096578958,0.8219543016801286,1.0392446790681664,0.6136609019021857,1.0376665264951728,0.8933782626564458,0.907229192023138,0.151,0.0,1.0067905374287376,0.8951037767783514,0.1526154852971218
BBJ_LDLC,TWB_Glaucoma,supplementary,19,1.3041612123165591,0.8643002601789482,1.9678768433540093,0.2057990803268705,1.1842162582824651,0.2318528792231434,0.5964464427950052,0.3435961443558052,0.14312966450979,0.16,0.0,1.2738006022990414,0.1620877001234671,0.156502450421387
BBJ_TC,TWB_Glaucoma,supplementary,29,0.9504169934686256,0.6419954385674487,1.4070076003803893,0.7994452722819495,0.9996051056197586,0.9983322508376926,0.6833311793650914,0.508540216799942,0.5607402799990802,0.209,0.0,0.9358422120431258,0.7053379492773024,0.2091777747691571
BBJ_TG,TWB_Glaucoma,supplementary,27,0.9083674960859894,0.6803825977396175,1.212746344022908,0.5145254482985975,0.9615313828256202,0.8868389852152984,0.8488372129652806,0.5546897407667309,0.7711520038689882,0.526,0.0,0.9083674960859894,0.5145254482985975,0.5121852349886632
BBJ_HDLC,TWB_Glaucoma,supplementary,37,0.8514867829306735,0.6518135729162373,1.1123268548425875,0.2383191826901547,0.9417618348768334,0.6015984110266517,1.0955740291579954,0.6728540918481447,0.2949755573514673,0.021,1.0,0.9410961128642993,0.5218030448354409,0.0209990514194582
KOGES_LDL,TWB_Glaucoma,supplementary,25,1.231447250164386,0.956375609871248,1.5856346756287327,0.1064913601434146,1.0320721947665883,0.859022535745584,0.6907362117744071,0.1850995700939497,0.0271440860269533,0.537,0.0,1.231447250164386,0.1064913601434146,0.527340685837798
KOGES_TC,TWB_Glaucoma,supplementary,26,1.0164871558969613,0.7240346880401473,1.4270671767126724,0.9247343736916204,1.1965576737813115,0.4792555126807568,0.6891904402740558,0.3918897854596403,0.3601898006853457,0.003,1.0,1.1062943939211132,0.4125016021449573,0.0064096138700762
KOGES_TG,TWB_Glaucoma,supplementary,23,0.8813279710351598,0.7228699137801686,1.074521124370885,0.2115813057342912,0.7832260056411212,0.1927519853423053,0.9172755750014125,0.6230016417680746,0.7834053213139524,0.644,0.0,0.8813279710351598,0.2115813057342912,0.6306559139173178
KOGES_LIP,TWB_Glaucoma,supplementary,4,0.9832059718386682,0.7543298620403354,1.2815268647120444,0.9003077962651226,0.7945494175434601,0.3076691283081159,0.8178080910151833,0.7851921536637553,0.7961828203019037,0.308,0.0,0.9833265017854055,0.8932930457817804,0.3231684225560913
BBJ_LDLC,BBJ_Glaucoma,supplementary,39,0.8185826692938615,0.7425055876241782,0.9024546045671314,5.762425722777872e-05,0.8514771264884057,0.0301371277032098,0.7578355772460289,0.0009684745264538,0.2086351010640725,0.55,0.0,0.8185826692938615,5.762425722777872e-05,0.5301618179635426
BBJ_TC,BBJ_Glaucoma,supplementary,65,0.7438076519222058,0.6560028413260363,0.8433649798523626,3.873702127527694e-06,0.787750778829236,0.0024949576269582,0.6946274147126528,0.0035759391206901,0.4996056808492929,0.293,0.0,0.7452227330261312,5.169366930604543e-07,0.2911334232460476
BBJ_TG,BBJ_Glaucoma,supplementary,60,0.9066190509443276,0.7993339593794235,1.0283037444991503,0.127099420940273,0.8116609047784198,0.0047260546290567,0.8384063721963672,0.0479388681635914,0.5668268748378946,0.03,0.0,0.8727923256238632,0.0022909302692544,0.0342123682265419
BBJ_HDLC,BBJ_Glaucoma,supplementary,82,1.0051118954466969,0.9065512662550864,1.1143880770711827,0.922859083502982,1.022843544315674,0.6362695905556415,1.0629906381807768,0.4444754846365556,0.5085973038034453,0.0,2.0,1.0513101415051436,0.1643245575987266,0.0003838323879394
