exp_short,outcome,v7_role,n_iv,ivw_or,ivw_or_lci,ivw_or_uci,ivw_pval,tier
KOGES_LIP,UKB_H401_All,supplementary,4,1.1745873689418271,0.9693810766894796,1.423233360392517,0.100471853211586,2
BBJ_LDLC,UKB_H40_All,supplementary,6,0.9736643799709572,0.7777797632288904,1.2188827347327598,0.8158566016892188,2
BBJ_TC,UKB_H40_All,supplementary,16,0.6959037796890322,0.5127837965320495,0.944417654888229,0.0199617736342381,2
BBJ_TG,UKB_H40_All,supplementary,9,1.1097031449863248,0.785075414012652,1.5685640487688164,0.5554982514602325,2
BBJ_HDLC,UKB_H40_All,supplementary,8,0.9177416043671284,0.6145779215927213,1.370452179934486,0.6747886888621951,2
KOGES_LDL,UKB_H40_All,supplementary,9,0.9194762107316796,0.783563620656991,1.0789634431887214,0.3036158574391239,2
KOGES_TC,UKB_H40_All,supplementary,11,0.8478143469840909,0.6586669100819693,1.0912786963331875,0.1999113016634888,2
KOGES_TG,UKB_H40_All,supplementary,9,0.9516762879098046,0.7296811549073619,1.2412102887387424,0.7147484831669201,2
KOGES_LIP,UKB_H40_All,supplementary,4,0.9821268180006728,0.8393597423701736,1.1491772096578958,0.8219543016801286,2
BBJ_LDLC,TWB_Glaucoma,supplementary,19,1.3041612123165591,0.8643002601789482,1.9678768433540093,0.2057990803268705,1
BBJ_TC,TWB_Glaucoma,supplementary,29,0.9504169934686256,0.6419954385674487,1.4070076003803893,0.7994452722819495,1
BBJ_TG,TWB_Glaucoma,supplementary,27,0.9083674960859894,0.6803825977396175,1.212746344022908,0.5145254482985975,1
BBJ_HDLC,TWB_Glaucoma,supplementary,37,0.8514867829306735,0.6518135729162373,1.1123268548425875,0.2383191826901547,1
KOGES_LDL,TWB_Glaucoma,supplementary,25,1.231447250164386,0.956375609871248,1.5856346756287327,0.1064913601434146,1
KOGES_TC,TWB_Glaucoma,supplementary,26,1.0164871558969613,0.7240346880401473,1.4270671767126724,0.9247343736916204,1
KOGES_TG,TWB_Glaucoma,supplementary,23,0.8813279710351598,0.7228699137801686,1.074521124370885,0.2115813057342912,1
KOGES_LIP,TWB_Glaucoma,supplementary,4,0.9832059718386682,0.7543298620403354,1.2815268647120444,0.9003077962651226,1
BBJ_LDLC,BBJ_Glaucoma,supplementary,39,0.8185826692938615,0.7425055876241782,0.9024546045671314,5.762425722777872e-05,3
BBJ_TC,BBJ_Glaucoma,supplementary,65,0.7438076519222058,0.6560028413260363,0.8433649798523626,3.873702127527694e-06,3
BBJ_TG,BBJ_Glaucoma,supplementary,60,0.9066190509443276,0.7993339593794235,1.0283037444991503,0.127099420940273,3
