dataset,analysis_type,protein,n_ivs,ivw_beta,ivw_se,ivw_p,OR,OR_lo,OR_hi,wm_beta,wm_se,wm_p,egger_beta,egger_se,egger_p,egger_intercept,egger_intercept_p,Q,Q_df,Q_p,I2,direction_consistent,n_matched,outcome,ivw_p_fdr,ivw_p_bonf,seqid,discovery_OR,discovery_p,n_iv,method,egger_int_p,same_dir,replicates,beta,se
JCTF/Olink,proteome-wide,HLA-DRA,14.0,0.0140846974957471,0.01396921672977,0.313326395228952,1.01418435417591,0.9867930204201898,1.042336014716874,0.0341241771311354,0.0168323759352557,0.0426323402390973,0.0192372592981465,0.0192349436018911,0.3172522496238299,-0.0030995657572394,0.6721935429112584,13.837032688964516,13.0,0.3854203221694572,6.049221012768695,True,14.0,BBJ_Glaucoma,0.626652790457904,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,HLA-A,8.0,-0.0135110401866988,0.0140964082655333,0.3378238184947659,0.9865798242321548,0.9596947629039524,1.0142180484935732,-0.0146486064255192,0.0137618656720843,0.2871318519811643,-0.0146059111268562,0.0163761590130528,0.3724460468368804,0.0030635120701241,0.7080764952479348,8.022665786767528,7.0,0.3305995006806739,12.747206651114624,False,8.0,BBJ_Glaucoma,0.6341005769164614,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,IFNGR2,4.0,-0.0173846201113388,0.01835119549707,0.3434711458297499,0.9827656205116566,0.9480453282262008,1.0187574750953443,-0.0150215015209189,0.0186868853200711,0.421482102326614,-0.0217628133080312,0.0126898161089352,0.0863484245767234,0.0079960869751594,0.237063596232794,1.4864551952052198,3.0,0.6853999741519452,0.0,True,4.0,BBJ_Glaucoma,0.6341005769164614,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,TNN,3.0,-0.0299277535294135,0.0345850734564829,0.3868536926480725,0.97051564734591,0.9069077912335816,1.0385847721763113,-0.0396551059697784,0.0885511385995847,0.6542820071313729,0.3044143862537548,0.1941115823408349,0.1168241250242436,0.1010540608425732,0.0711675125551187,11.905934276486212,2.0,0.0025981200888059,83.20165428806433,False,3.0,BBJ_Glaucoma,0.6877398980410179,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,PLA2G7,3.0,0.0198634316660549,0.0311514622202437,0.5237077732265938,1.0200620223428685,0.9596434840414482,1.0842844730671677,0.0085380397623708,0.0379656015028649,0.8220657578765529,-0.0216165868576062,0.0345421145275641,0.5314436328780214,0.0195891847412742,0.1215476943215503,1.6643909723266437,2.0,0.4350929962917771,0.0,True,3.0,BBJ_Glaucoma,0.8977847541027322,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,CA2,3.0,-0.0811670010135956,0.1375365848837333,0.5550911357629107,0.9220396970223756,0.7041677236450083,1.2073220261849198,-0.0851340416620364,0.012967052253681,5.1889159635720716e-11,-0.0851240563261662,0.0098630468916072,0.0,0.0007612383320867,0.2700342298657057,0.0098908524660094,2.0,0.995066782253627,0.0,False,3.0,BBJ_Glaucoma,0.9177139817991288,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,KLRK1,4.0,-0.0239689543853308,0.0425887780476305,0.5735712386244556,0.9763160196183532,0.8981277507726259,1.0613111212112398,-0.0337887939822348,0.0482264277868464,0.483535091838664,0.0547999871184183,0.1781356592888109,0.7583634017256002,0.022735773788689,0.6459751213913636,2.8385400219174226,3.0,0.4171947766539322,0.0,False,4.0,BBJ_Glaucoma,0.9177139817991288,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,RNASET2,3.0,0.0220076448978412,0.0412562990428706,0.5937309680085079,1.0222515994496115,0.9428437532462944,1.108347304608285,0.0433171899357674,0.0613012080776014,0.4797972795466996,0.0061022905392538,0.0606398519015935,0.9198428425374248,-0.0074626327411167,0.6947742590144825,1.3790604178161572,2.0,0.5018117603937321,0.0,False,3.0,BBJ_Glaucoma,0.9193253698196252,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,GUCA2A,3.0,0.0347583872088981,0.0732784617924784,0.6352625152812001,1.035369520056877,0.8968493337149157,1.1952844282354849,0.0055736401583638,0.0470618647278424,0.9057252136909676,-1.1894183595904415,0.7946512102050175,0.134450406787159,-0.1627330986122915,0.1232263519381051,0.4381615305007018,2.0,0.8032568402939211,0.0,True,3.0,BBJ_Glaucoma,0.9319796760793864,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,PSCA,3.0,0.013892198485368,0.0297687868590232,0.6407360273045781,1.0139891434809247,0.956519002346322,1.0749122396680972,0.0111961674548504,0.0039570083818891,0.0046627713758611,0.0154367571408482,0.0033102102976254,3.110627890823281e-06,0.001422390983826,0.3564732044637404,0.0170202625509441,2.0,0.9915259773892654,0.0,True,3.0,BBJ_Glaucoma,0.9319796760793864,1.0,,,,,,,,,,
